Date,SENT_ORTHO_RISK,BWsent
196902,11.07679653,1.72
196903,11.4020363,1.7
196904,11.3795916,1.97
196905,11.88609485,2.2
196906,10.58690106,2.23
196907,9.489370386,2.21
196908,9.790105572,2.11
196909,9.322125279,2.33
196910,10.85171972,2.2
196911,9.913715768,2.22
196912,8.413901879,2.3
197001,9.288581931,2.13
197002,9.536269572,1.88
197003,8.913127153,1.87
197004,6.491765775,1.74
197005,6.394556685,1.54
197006,5.566772683,1.2
197007,5.030816545,1.14
197008,5.582877219,0.97
197009,8.955722481,0.9
197010,7.484067309,0.7
197011,5.684774826,0.52
197012,4.618324146,0.42
197101,7.369978327,0.29
197102,8.221805347,0.08
197103,8.407615879,-0.07
197104,8.045498692,-0.37
197105,7.030490485,-0.57
197106,6.16832775,-0.67
197107,5.026446656,-0.63
197108,4.894507255,-0.73
197109,4.491560545,-0.63
197110,3.571980719,-0.73
197111,2.639887053,-0.86
197112,3.311233959,-0.87
197201,6.100653793,-0.73
197202,6.400916589,-0.78
197203,5.885439809,-0.66
197204,5.389128812,-0.61
197205,4.631815739,-0.62
197206,4.067153741,-0.54
197207,3.320151878,-0.57
197208,2.509188012,-0.5
197209,1.848668871,-0.46
197210,1.104718342,-0.51
197211,0.297835317,-0.46
197212,-0.571050803,-0.35
197301,-0.37380882,-0.38
197302,-1.256362627,-0.25
197303,-1.471766717,-0.23
197304,-2.48655704,-0.31
197305,-4.002578421,-0.49
197306,-4.197628231,-0.62
197307,-2.267615431,-0.71
197308,-2.880292618,-0.83
197309,-2.694488869,-0.9
197310,-2.397749292,-1.03
197311,-3.379233662,-1.2
197312,-4.611056051,-1.09
197401,-0.486423197,-1.08
197402,-0.462145377,-1.32
197403,0.282388908,-1.39
197404,0.567695808,-1.66
197405,0.529330254,-1.77
197406,0.846052857,-1.81
197407,0.676525156,-1.83
197408,1.001697045,-2.07
197409,0.784053849,-1.91
197410,0.592250734,-2.21
197411,0.163510656,-2.45
197412,-0.923356734,-2.21
197501,2.255141531,-2.07
197502,3.27273587,-2.32
197503,4.781890473,-2.44
197504,4.933788956,-2.48
197505,5.700131606,-2.49
197506,6.077422979,-2.5
197507,6.448564253,-2.35
197508,5.400136204,-2.32
